UNIQID,NAME,INV_AML 90,INV_AML 89,INV_AML 73,LAP_AML 104,LAP_AML 119,M5_AML 27,M5_AML 111,AML 48,AML 35,AML 46,AML 87,AML 55,AML 94,AML 68,AML 61,AML 7,AML 67,AML 54,AML 52
#,CLASS,LAM_INV,LAM_INV,LAM_INV,LAM_LAP,LAM_LAP,LAM_M5,LAM_M5,LAM_OTHERS,LAM_OTHERS,LAM_OTHERS,LAM_OTHERS,LAM_OTHERS,LAM_OTHERS,LAM_OTHERS,LAM_OTHERS,LAM_OTHERS,LAM_OTHERS,LAM_OTHERS,LAM_OTHERS
1,SCN3A,-0.110742696,-0.5509559,-0.87690234,1.2184792,-0.5033747,1.1454885,-0.6255847,0.9797951,2.3468719,1.62042,0.9550993,-1.057908,-1.5253794,-0.7219315,-0.49857688,-0.88995504,-0.32116336,-0.6530557,0.46736434
2,SCN3B,-0.9886911,-0.9520383,-0.63822263,1.1502317,-1.0850053,1.2299234,-0.2810407,1.265934,1.2051978,1.2779785,1.2991638,-0.7484489,-0.9886911,-0.70484996,-1.146923,-0.40522638,-0.61234814,-0.08504955,2.9000921
3,GFER,0.87844056,0.04984836,0.9204191,1.3895026,1.380046,-0.33125103,0.91200376,-0.40330386,-0.4646961,-0.72265637,-0.65559524,0.94373405,0.70670724,0.2812526,-1.0310059,0.07292967,0.39985678,0.85998684,-3.0172226
4,RBM35A,0.40577298,-0.8295883,0.1783311,0.08590115,-0.23129497,0.26882434,0.076775506,-0.5551031,-0.36178043,0.6492735,-1.3847482,-0.23395523,-0.27849376,1.0810795,-0.67421854,0.6096099,-0.5551031,-0.55093515,3.7810924
5,RBM35B,-0.13802265,-0.5033414,0.2572476,1.3464109,0.3381265,-0.33249477,1.4452822,-0.57500386,0.4669649,1.1115599,-1.2224847,0.9762067,1.1681641,-0.2815829,-0.22555311,2.520018,1.1333089,-0.43605456,2.309224
6,BTBD2,-0.7204955,0.0989913,-1.0761329,0.7927076,1.2245038,0.9900576,-1.2256035,-0.93240184,-1.107014,-1.763865,0.36441723,-0.9918418,-1.1004319,-1.5951077,0.2688844,-0.17904535,-0.07376755,0.58983153,0.43813005
7,BTBD3,-0.49650842,-0.26649773,-0.56010514,-0.34494638,-0.44707727,-0.724788,-1.6539901,0.24978103,-0.63653576,-0.724788,0.17863137,-1.0381103,0.3655692,-1.0932578,0.78026056,-0.3301418,0.72089297,-1.1668864,1.1291786
8,TMEFF1,-0.8351438,-0.35986915,-0.67035866,-1.2183102,0.081947565,0.2434887,-0.1559746,0.023119187,0.24805419,0.044894997,0.034853365,-0.3199943,-0.02384629,-0.32049412,-0.014857708,0.48244336,0.19544278,-0.16576153,0.17488982
9,SCN2B,-0.19739127,-0.31235743,-0.17525841,-0.16505139,-0.30695114,0.16562751,-0.20633958,0.058827113,0.034216575,-0.11484296,-0.12757911,-0.18467784,-0.13964282,-0.19194776,-0.23757285,-0.13981764,-0.30695114,-0.27494732,6.3601546
10,TFPT,-1.3584883,-1.57846,-0.51427954,2.5853686,1.1302882,0.9845035,-0.53424466,0.9208669,-0.9345389,0.8992673,0.9205122,-0.25579655,0.7754832,0.37689874,-0.63285184,-0.12450035,-0.5649935,0.77674425,0.2258023
