UNIQID,NAME,AP10222_S,AP12366_S,AP13223_S,AP14217_S,AP16089_S,AP16739_S,AP17074_S,BP185_S,BP355_S,BP10891_S,CP6667_S,CP12361_S,CP13701_S,CP13850_S,CP14043_S,XP139_S,XP10557_S,XP13296_S,XP13451_S,XP14399_S,XP14698_S,XP15443_S,XP16221_S,XP17099_S,XP7297_S,XP9376_S,XP10232_S,XP11567_S,XP14735_S,XP16942_S,XP16973_S
#,CLASS,LAM_LAP,LAM_LAP,LAM_LAP,LAM_LAP,LAM_LAP,LAM_LAP,LAM_LAP,LAM_INV,LAM_INV,LAM_INV,LAM_M5,LAM_M5,LAM_M5,LAM_M5,LAM_M5,LAM_OTHERS,LAM_OTHERS,LAM_OTHERS,LAM_OTHERS,LAM_OTHERS,LAM_OTHERS,LAM_OTHERS,LAM_OTHERS,LAM_OTHERS,LAM_OTHERS,LAM_OTHERS,LAM_OTHERS,LAM_OTHERS,LAM_OTHERS,LAM_OTHERS,LAM_OTHERS
1,SCN3A,-0.3899201,-0.44248635,-0.45722342,-0.6335158,-0.24506249,0.20379186,-0.15950106,0.054471463,0.57954305,-0.26057395,-0.4162734,-0.20314848,-0.0060933586,-0.036189873,0.12035595,-0.12709373,0.06505415,-0.45323583,0.22277138,-0.1085962,0.33724377,-0.40152952,-0.22910783,-0.2435002,-0.09967983,0.05691523,-0.41011903,-0.30254275,5.6066628,-0.50108504,-0.14250118
2,SCN3B,-0.8544677,-0.9781902,-0.5731905,-0.89492494,-0.37509724,0.39094257,3.7659795,-0.8240779,-0.18700238,0.10540321,-1.6079174,-0.50187826,2.17521,0.3880023,0.19577572,-0.32463852,0.10935988,-0.13880984,0.89834446,-0.26759297,-0.21911179,1.0841162,0.37851673,0.31982988,-0.3410947,0.81815916,-1.1124516,-0.9472492,-0.7973392,-0.3824072,0.8323722
3,GFER,0.18729363,-0.593458,-1.2392846,-1.6157554,0.52119076,-1.6344659,0.1959295,0.89899945,-1.195303,-0.08017855,0.115452446,-0.030885028,0.24783362,0.23094168,-0.83814645,-1.2152212,0.8467497,-0.25417542,0.22467692,-0.91974235,0.044213433,1.4266355,-0.0033248607,-0.062718645,1.5195053,0.20281355,0.32474548,0.19549839,0.5235824,0.14252333,0.585929
4,RBM35A,-1.1663355,-0.79279333,-0.82378477,-0.34094152,-1.607184,0.7243683,-0.16364403,-0.27203986,1.7629356,-0.22713107,-0.5911549,-0.11947294,1.8979303,0.6267761,1.0445516,-0.7185441,1.0025808,0.45386174,1.5776767,0.89846426,-0.013159281,0.3390166,0.7924269,0.7929889,-2.017921,1.1721692,-2.8532562,-0.5955891,-0.41074693,0.41274685,0.5814985
5,RBM35B,-0.2292025,-0.9906643,-2.5402672,-0.26939183,-1.7135626,-1.3895433,-0.14839979,-0.3026867,0.16930734,-0.15013988,0.92797005,0.6445003,0.8764129,1.4444377,-0.7263313,-1.2089,1.2251321,-0.09501468,1.2194988,-1.2286915,-0.5368557,-0.4412753,0.5081088,1.1825128,1.3473963,0.41128704,-0.75570655,0.49587536,2.0653818,1.185725,0.94499755
6,BTBD2,0.3680265,1.3210043,-2.359211,-1.4179472,-0.15874854,0.6071346,-0.67625725,-0.6612823,-1.6767588,-0.17740265,-0.33925608,0.65400714,-0.99491364,-0.09040854,-1.1172415,0.0051019406,-1.3831798,-0.6533591,0.75699735,-0.5958573,-0.07999399,-0.30276138,-0.2217584,0.8773225,-0.8913458,1.8532254,0.7009559,1.2593672,0.1778586,2.331111,1.3794806
7,BTBD3,0.3944711,0.17099059,2.159589,-0.26614904,-0.78020996,0.3738134,-1.0570792,0.40660682,-0.72098905,-0.8048338,-0.5912803,-0.46424556,0.41324764,-0.9605466,0.2233759,2.1456206,-1.1960901,1.8405076,-0.5365679,2.7738264,-0.174856,0.6941989,-0.8860258,0.53088075,-0.6274946,0.24291074,-0.8553186,-0.74925095,0.04755501,0.87076837,0.18014531
8,TMEFF1,0.39922324,-0.118299484,-0.027605493,2.1495557,1.774811,0.96979487,3.2979374,-0.65898764,0.456304,0.49599296,0.48431122,-1.3920219,-0.3223578,-0.6047302,-0.6650316,-0.3223578,-0.3361418,0.49819675,-0.13442692,0.6608676,0.20894891,-0.6650316,-0.5141327,-0.78331643,0.29490012,-1.4981984,0.055095874,-0.33540297,-1.283342,-1.683372,-0.118299484
9,SCN2B,0.07999228,0.10342634,-0.59705204,0.777657,-3.8010685,-0.69683135,-2.21368,0.50091827,-1.3100578,-0.028520327,1.2155538,0.89708954,-0.7650491,-0.5518614,-0.42639357,-0.52472657,0.13779481,0.7558371,-1.026211,-0.07113741,0.14381008,0.72473246,-0.11405132,0.16386466,2.2503943,0.01729949,0.3014208,1.8894987,1.2442015,0.95290107,-0.11902161
10,TFPT,0.63304174,0.83046126,2.0030103,-2.3306682,-0.2979512,0.8648779,0.03140797,0.22835468,-0.99436367,-0.87071383,0.6796763,0.6021112,-0.008093231,-0.5555396,-0.1337598,0.0682158,-1.0300055,1.0394541,-2.266482,1.2000326,-0.56956697,-0.9350384,-0.16262023,-0.21066368,-0.5583373,0.52880836,-0.4338118,0.99423194,0.07243063,-0.7588246,-0.7719336
11,UGCG,-0.15517788,-0.5203463,0.090447016,-0.33109763,0.5727944,1.9090044,0.55616915,-0.14863388,1.3711936,1.1328224,-1.6625779,-0.37273386,1.9114953,0.69986975,-0.27681902,-0.5410734,-0.5177124,-0.7712868,2.4648998,-0.21515436,-0.07565188,-1.0258856,0.03999122,-0.4743876,0.9658282,-0.60726,-1.777714,-1.6394204,2.5149136,0.02113265,-0.3664657
12,SCN2A,-0.42183527,0.023507072,0.8857857,-0.36950845,0.85022104,-0.8564112,0.93466073,-1.5632054,0.563445,0.76677245,-1.8234109,-0.9927628,1.0311805,0.764218,0.71054584,-1.3371372,1.204791,-0.29522327,1.4708086,-0.033968393,1.1251047,0.06663349,1.1207833,2.313464,-1.7776414,-0.11731918,-0.25515088,0.6175321,0.11917177,0.2636758,1.6450098
13,BTBD7,0.59717697,-1.657816,0.021647872,1.4176978,1.5038375,-1.7720169,2.7988777,-0.82642823,0.5386891,-0.20504013,-0.18094523,-0.5385389,1.861857,-0.53304714,-1.3775764,0.8275783,0.308351,-0.48134536,0.09724326,-0.20504013,0.43139252,-0.87837124,-0.37409037,-0.03924069,-0.2708698,1.0105784,1.6490856,-0.55128425,1.1270667,-1.5674939,0.07081091
14,GEM,-0.40960327,0.13169359,-0.66216564,2.2117505,-1.7215136,-1.15494,-1.0551742,-0.83784384,1.32876,-0.66721326,-0.62250936,0.39227474,3.08314,0.771788,-0.62842894,-0.86071146,0.48631528,-0.62842894,0.41481668,0.3827765,0.95927554,0.039272565,0.60044837,0.5090043,0.62372386,0.6123592,-0.990243,-0.30639714,0.99350953,-0.6680257,0.8161785
